audio_path,label
/data/xuanru/VCTK/VCTK_16k/p318/p318_225.wav,This was not an easy meeting for me.
/data/xuanru/VCTK/VCTK_16k/p318/p318_114.wav,I was very fortunate.
/data/xuanru/VCTK/VCTK_16k/p318/p318_096.wav,That's the National Grid.
/data/xuanru/VCTK/VCTK_16k/p318/p318_391.wav,There are a number of possible outcomes.
/data/xuanru/VCTK/VCTK_16k/p318/p318_291.wav,It's never over until it's over.
/data/xuanru/VCTK/VCTK_16k/p318/p318_234.wav,Is it the shape of things to come?
/data/xuanru/VCTK/VCTK_16k/p318/p318_126.wav,What's the point?
/data/xuanru/VCTK/VCTK_16k/p318/p318_207.wav,"There are moments of honesty, too."
/data/xuanru/VCTK/VCTK_16k/p318/p318_070.wav,I am confident of the outcome this week.
/data/xuanru/VCTK/VCTK_16k/p318/p318_331.wav,Everyone is too upset to comment.
/data/xuanru/VCTK/VCTK_16k/p318/p318_026.wav,It is never an easy game.
/data/xuanru/VCTK/VCTK_16k/p318/p318_119.wav,O Neill is reputed to have replied.
/data/xuanru/VCTK/VCTK_16k/p318/p318_145.wav,"However, it is not all bad news for women."
/data/xuanru/VCTK/VCTK_16k/p318/p318_099.wav,He wouldn't allow that to happen.
/data/xuanru/VCTK/VCTK_16k/p318/p318_407.wav,"As, indeed, they would be."
/data/xuanru/VCTK/VCTK_16k/p318/p318_017.wav,Others have tried to explain the phenomenon physically.
/data/xuanru/VCTK/VCTK_16k/p318/p318_111.wav,It's just one of those things.
/data/xuanru/VCTK/VCTK_16k/p318/p318_382.wav,"As it was a double, it was pretty expensive."
/data/xuanru/VCTK/VCTK_16k/p318/p318_210.wav,"Sadly, too, many of them are similar."
/data/xuanru/VCTK/VCTK_16k/p318/p318_033.wav,This is a disaster averted for Scotland.
/data/xuanru/VCTK/VCTK_16k/p318/p318_266.wav,I had trouble with the producers.
/data/xuanru/VCTK/VCTK_16k/p318/p318_383.wav,"It's always the same, isn't it?"
/data/xuanru/VCTK/VCTK_16k/p318/p318_247.wav,I wanted to put myself on the line.
/data/xuanru/VCTK/VCTK_16k/p318/p318_113.wav,We played so well at times.
/data/xuanru/VCTK/VCTK_16k/p318/p318_420.wav,Who can tell?
/data/xuanru/VCTK/VCTK_16k/p318/p318_049.wav,He was critically ill in hospital last night.
/data/xuanru/VCTK/VCTK_16k/p318/p318_411.wav,The next eight weeks are critical to us.
/data/xuanru/VCTK/VCTK_16k/p318/p318_351.wav,That might help a bit.
/data/xuanru/VCTK/VCTK_16k/p318/p318_201.wav,I'm just looking to take my chances.
/data/xuanru/VCTK/VCTK_16k/p318/p318_349.wav,It has been handled entirely properly.
/data/xuanru/VCTK/VCTK_16k/p318/p318_316.wav,But then they scored their fourth.
/data/xuanru/VCTK/VCTK_16k/p318/p318_347.wav,This morning was very quiet.
/data/xuanru/VCTK/VCTK_16k/p318/p318_334.wav,She has nothing to say to journalists.
/data/xuanru/VCTK/VCTK_16k/p318/p318_132.wav,He is expected to be interviewed by detectives.
/data/xuanru/VCTK/VCTK_16k/p318/p318_082.wav,This does not help.
/data/xuanru/VCTK/VCTK_16k/p318/p318_073.wav,It really has left the town in shock.
/data/xuanru/VCTK/VCTK_16k/p318/p318_168.wav,This one is a special case.
/data/xuanru/VCTK/VCTK_16k/p318/p318_326.wav,For a few years we had good fun.
/data/xuanru/VCTK/VCTK_16k/p318/p318_242.wav,I tried to push him away.
/data/xuanru/VCTK/VCTK_16k/p318/p318_397.wav,"Instead, it is back to the drawing board."
/data/xuanru/VCTK/VCTK_16k/p318/p318_235.wav,My body is exhausted.
/data/xuanru/VCTK/VCTK_16k/p318/p318_276.wav,There have been different reports from different people.
/data/xuanru/VCTK/VCTK_16k/p318/p318_063.wav,I was chosen to do this.
/data/xuanru/VCTK/VCTK_16k/p318/p318_194.wav,That will depend on the outcome of inquiries.
/data/xuanru/VCTK/VCTK_16k/p318/p318_236.wav,Home is in the Scottish Borders.
/data/xuanru/VCTK/VCTK_16k/p318/p318_101.wav,This is my personal assessment.
/data/xuanru/VCTK/VCTK_16k/p318/p318_376.wav,She died at her home.
/data/xuanru/VCTK/VCTK_16k/p318/p318_288.wav,We have it on video.
/data/xuanru/VCTK/VCTK_16k/p318/p318_012.wav,Throughout the centuries people have explained the rainbow in various ways.
/data/xuanru/VCTK/VCTK_16k/p318/p318_344.wav,It's a question of perception.
/data/xuanru/VCTK/VCTK_16k/p318/p318_307.wav,I never had any confidence in it afterwards.
/data/xuanru/VCTK/VCTK_16k/p318/p318_384.wav,We have been preparing all year.
/data/xuanru/VCTK/VCTK_16k/p318/p318_059.wav,It's back to how it used to be.
/data/xuanru/VCTK/VCTK_16k/p318/p318_208.wav,It was good to score the goal today.
/data/xuanru/VCTK/VCTK_16k/p318/p318_023.wav,"If the red of the second bow falls upon the green of the first, the result is to give a bow with an abnormally wide yellow band, since red and green light when mixed form yellow."
/data/xuanru/VCTK/VCTK_16k/p318/p318_151.wav,Surely it can do better than that?
/data/xuanru/VCTK/VCTK_16k/p318/p318_195.wav,They believed it worked.
/data/xuanru/VCTK/VCTK_16k/p318/p318_182.wav,From now on there is no hiding place.
/data/xuanru/VCTK/VCTK_16k/p318/p318_358.wav,Closure is not one of them.
/data/xuanru/VCTK/VCTK_16k/p318/p318_171.wav,The ministers are now to make their decision.
/data/xuanru/VCTK/VCTK_16k/p318/p318_322.wav,But will they fall in love?
/data/xuanru/VCTK/VCTK_16k/p318/p318_160.wav,He had never run the distance before.
/data/xuanru/VCTK/VCTK_16k/p318/p318_218.wav,It is not a wish list.
/data/xuanru/VCTK/VCTK_16k/p318/p318_143.wav,"However, consumers may take a different view."
/data/xuanru/VCTK/VCTK_16k/p318/p318_091.wav,"It's a very, very special day."
/data/xuanru/VCTK/VCTK_16k/p318/p318_282.wav,I'm confident we can do that.
/data/xuanru/VCTK/VCTK_16k/p318/p318_245.wav,The truth is otherwise.
/data/xuanru/VCTK/VCTK_16k/p318/p318_233.wav,They hold on for many years.
/data/xuanru/VCTK/VCTK_16k/p318/p318_223.wav,"We remain committed to it, as does the government."
/data/xuanru/VCTK/VCTK_16k/p318/p318_314.wav,But they had to be paid for.
/data/xuanru/VCTK/VCTK_16k/p318/p318_222.wav,"If not, he should go home."
/data/xuanru/VCTK/VCTK_16k/p318/p318_251.wav,"Which, in effect, it is."
/data/xuanru/VCTK/VCTK_16k/p318/p318_010.wav,"People look, but no one ever finds it."
/data/xuanru/VCTK/VCTK_16k/p318/p318_045.wav,I never had a childhood.
/data/xuanru/VCTK/VCTK_16k/p318/p318_373.wav,Frank Warren is a great man.
/data/xuanru/VCTK/VCTK_16k/p318/p318_285.wav,I would never even consider it.
/data/xuanru/VCTK/VCTK_16k/p318/p318_252.wav,The man became a reporter.
/data/xuanru/VCTK/VCTK_16k/p318/p318_150.wav,"Still, in the end, it was a fair result."
/data/xuanru/VCTK/VCTK_16k/p318/p318_402.wav,This fight is not going to go away.
/data/xuanru/VCTK/VCTK_16k/p318/p318_311.wav,Could you put it in writing?
/data/xuanru/VCTK/VCTK_16k/p318/p318_413.wav,Her grand-daughter was uninjured.
/data/xuanru/VCTK/VCTK_16k/p318/p318_184.wav,He quit in October.
/data/xuanru/VCTK/VCTK_16k/p318/p318_108.wav,I think the Scottish bid is very strong.
/data/xuanru/VCTK/VCTK_16k/p318/p318_102.wav,There was no trouble at all.
/data/xuanru/VCTK/VCTK_16k/p318/p318_036.wav,"The waiting is over, well almost."
/data/xuanru/VCTK/VCTK_16k/p318/p318_393.wav,This is the last thing we ever expected.
/data/xuanru/VCTK/VCTK_16k/p318/p318_181.wav,I hope we do.
/data/xuanru/VCTK/VCTK_16k/p318/p318_284.wav,It's funny how it comes and goes.
/data/xuanru/VCTK/VCTK_16k/p318/p318_310.wav,And we have beaten them before.
/data/xuanru/VCTK/VCTK_16k/p318/p318_120.wav,The Tory party will last.
/data/xuanru/VCTK/VCTK_16k/p318/p318_071.wav,There were no formal announcements.
/data/xuanru/VCTK/VCTK_16k/p318/p318_342.wav,"When it comes down to it, this is a job."
/data/xuanru/VCTK/VCTK_16k/p318/p318_172.wav,That is not a position they enjoy.
/data/xuanru/VCTK/VCTK_16k/p318/p318_006.wav,"When the sunlight strikes raindrops in the air, they act as a prism and form a rainbow."
/data/xuanru/VCTK/VCTK_16k/p318/p318_203.wav,This is not a European Army.
/data/xuanru/VCTK/VCTK_16k/p318/p318_189.wav,They were that poor.
/data/xuanru/VCTK/VCTK_16k/p318/p318_239.wav,I was an athlete.
/data/xuanru/VCTK/VCTK_16k/p318/p318_009.wav,"There is , according to legend, a boiling pot of gold at one end."
/data/xuanru/VCTK/VCTK_16k/p318/p318_154.wav,The salary changes are long overdue.
/data/xuanru/VCTK/VCTK_16k/p318/p318_215.wav,Bill Clinton always had an idea to sell.
/data/xuanru/VCTK/VCTK_16k/p318/p318_212.wav,But there's no eye contact.
/data/xuanru/VCTK/VCTK_16k/p318/p318_323.wav,As if they ever stopped.
/data/xuanru/VCTK/VCTK_16k/p318/p318_158.wav,Who was on the panel?
/data/xuanru/VCTK/VCTK_16k/p318/p318_253.wav,It is a memorial.
/data/xuanru/VCTK/VCTK_16k/p318/p318_177.wav,Perhaps it is jealousy.
/data/xuanru/VCTK/VCTK_16k/p318/p318_375.wav,That was never their agenda.
/data/xuanru/VCTK/VCTK_16k/p318/p318_038.wav,"I'm not allowed to say that, of course."
/data/xuanru/VCTK/VCTK_16k/p318/p318_103.wav,"Although, you never know."
/data/xuanru/VCTK/VCTK_16k/p318/p318_297.wav,What's the point of staying sober?
/data/xuanru/VCTK/VCTK_16k/p318/p318_378.wav,That's the only thing that matters.
/data/xuanru/VCTK/VCTK_16k/p318/p318_018.wav,Aristotle thought that the rainbow was caused by reflection of the sun's rays by the rain.
/data/xuanru/VCTK/VCTK_16k/p318/p318_243.wav,It can't just be a cynical marketing exercise.
/data/xuanru/VCTK/VCTK_16k/p318/p318_333.wav,But when we do it is great.
/data/xuanru/VCTK/VCTK_16k/p318/p318_152.wav,I am ashamed of them.
/data/xuanru/VCTK/VCTK_16k/p318/p318_200.wav,How do we get more people in?
/data/xuanru/VCTK/VCTK_16k/p318/p318_159.wav,They may differ on other issues.
/data/xuanru/VCTK/VCTK_16k/p318/p318_014.wav,To the Hebrews it was a token that there would be no more universal floods.
/data/xuanru/VCTK/VCTK_16k/p318/p318_007.wav,The rainbow is a division of white light into many beautiful colors.
/data/xuanru/VCTK/VCTK_16k/p318/p318_399.wav,"Actually, he thinks he has had it pretty good."
/data/xuanru/VCTK/VCTK_16k/p318/p318_022.wav,The actual primary rainbow observed is said to be the effect of super-imposition of a number of bows.
/data/xuanru/VCTK/VCTK_16k/p318/p318_295.wav,We gave them the goal.
/data/xuanru/VCTK/VCTK_16k/p318/p318_302.wav,I can feel the sound inside.
/data/xuanru/VCTK/VCTK_16k/p318/p318_040.wav,They hit me in the head.
/data/xuanru/VCTK/VCTK_16k/p318/p318_365.wav,They took a risk.
/data/xuanru/VCTK/VCTK_16k/p318/p318_305.wav,SO now we know the secret.
/data/xuanru/VCTK/VCTK_16k/p318/p318_046.wav,Its effect on humans is not yet known.
/data/xuanru/VCTK/VCTK_16k/p318/p318_094.wav,It was forced to divert.
/data/xuanru/VCTK/VCTK_16k/p318/p318_422.wav,"Now, that is a good deal."
/data/xuanru/VCTK/VCTK_16k/p318/p318_048.wav,We were very much a happy family.
/data/xuanru/VCTK/VCTK_16k/p318/p318_047.wav,We offered something different.
/data/xuanru/VCTK/VCTK_16k/p318/p318_147.wav,We haven't found out anything different.
/data/xuanru/VCTK/VCTK_16k/p318/p318_032.wav,It was important to win the singles.
/data/xuanru/VCTK/VCTK_16k/p318/p318_412.wav,"Yes, it gave me a lot of confidence."
/data/xuanru/VCTK/VCTK_16k/p318/p318_105.wav,The quality of work is very impressive.
/data/xuanru/VCTK/VCTK_16k/p318/p318_353.wav,He was made redundant in February last year.
/data/xuanru/VCTK/VCTK_16k/p318/p318_330.wav,We are now in an election period.
/data/xuanru/VCTK/VCTK_16k/p318/p318_237.wav,We have the support of Scottish Natural Heritage.
/data/xuanru/VCTK/VCTK_16k/p318/p318_058.wav,In a way he was.
/data/xuanru/VCTK/VCTK_16k/p318/p318_335.wav,I didn't want to fall out with anyone.
/data/xuanru/VCTK/VCTK_16k/p318/p318_350.wav,I shall be voting Yes to support him.
/data/xuanru/VCTK/VCTK_16k/p318/p318_051.wav,Their conditions are described as serious but stable.
/data/xuanru/VCTK/VCTK_16k/p318/p318_290.wav,"Painful, but only because it's true."
/data/xuanru/VCTK/VCTK_16k/p318/p318_408.wav,I want to keep him.
/data/xuanru/VCTK/VCTK_16k/p318/p318_153.wav,"Glasgow, however, did not get a mention."
/data/xuanru/VCTK/VCTK_16k/p318/p318_196.wav,"After that, though, we are still waiting to see."
/data/xuanru/VCTK/VCTK_16k/p318/p318_227.wav,That figure will always remain with me.
/data/xuanru/VCTK/VCTK_16k/p318/p318_301.wav,"They were going through the motions, but that's about all."
/data/xuanru/VCTK/VCTK_16k/p318/p318_324.wav,The referee had a shocking game.
/data/xuanru/VCTK/VCTK_16k/p318/p318_078.wav,We are confident of taking that back.
/data/xuanru/VCTK/VCTK_16k/p318/p318_187.wav,Her daughter is getting married.
/data/xuanru/VCTK/VCTK_16k/p318/p318_011.wav,"When a man looks for something beyond his reach, his friends say he is looking for the pot of gold at the end of the rainbow."
/data/xuanru/VCTK/VCTK_16k/p318/p318_198.wav,This is a really serious issue.
/data/xuanru/VCTK/VCTK_16k/p318/p318_416.wav,But it's not the end of Scottish football.
/data/xuanru/VCTK/VCTK_16k/p318/p318_129.wav,Raymond was always on the outside.
/data/xuanru/VCTK/VCTK_16k/p318/p318_128.wav,What has changed since then?
/data/xuanru/VCTK/VCTK_16k/p318/p318_188.wav,His manager blamed the referee.
/data/xuanru/VCTK/VCTK_16k/p318/p318_367.wav,The hearing in Edinburgh continues.
/data/xuanru/VCTK/VCTK_16k/p318/p318_352.wav,Two others were also seriously injured.
/data/xuanru/VCTK/VCTK_16k/p318/p318_398.wav,He says it often enough.
/data/xuanru/VCTK/VCTK_16k/p318/p318_258.wav,Or so everyone believed.
/data/xuanru/VCTK/VCTK_16k/p318/p318_341.wav,The picture is the same across Scotland.
/data/xuanru/VCTK/VCTK_16k/p318/p318_155.wav,"I, like an idiot, agreed."
/data/xuanru/VCTK/VCTK_16k/p318/p318_034.wav,That is impressive by any standards.
/data/xuanru/VCTK/VCTK_16k/p318/p318_246.wav,We haven't come out of this very well.
/data/xuanru/VCTK/VCTK_16k/p318/p318_192.wav,Stan is a vital part of our future.
/data/xuanru/VCTK/VCTK_16k/p318/p318_255.wav,Our people are paying high prices.
/data/xuanru/VCTK/VCTK_16k/p318/p318_355.wav,"Next league matches, Motherwell - Dundee United."
/data/xuanru/VCTK/VCTK_16k/p318/p318_400.wav,His primary residence is Scotland.
/data/xuanru/VCTK/VCTK_16k/p318/p318_340.wav,I'm pleased to get through the opening match.
/data/xuanru/VCTK/VCTK_16k/p318/p318_130.wav,We need to make more inquiries about that.
/data/xuanru/VCTK/VCTK_16k/p318/p318_299.wav,The incident is being taken seriously.
/data/xuanru/VCTK/VCTK_16k/p318/p318_035.wav,We are doing very well as we are.
/data/xuanru/VCTK/VCTK_16k/p318/p318_174.wav,Dewar is the medium.
/data/xuanru/VCTK/VCTK_16k/p318/p318_232.wav,It is a technique.
/data/xuanru/VCTK/VCTK_16k/p318/p318_287.wav,The end result is precisely the same.
/data/xuanru/VCTK/VCTK_16k/p318/p318_296.wav,Is being naturally funny enough?
/data/xuanru/VCTK/VCTK_16k/p318/p318_320.wav,Then came the crunch.
/data/xuanru/VCTK/VCTK_16k/p318/p318_067.wav,Sandy was very active.
/data/xuanru/VCTK/VCTK_16k/p318/p318_380.wav,They were outstanding and thoroughly deserved their win.
/data/xuanru/VCTK/VCTK_16k/p318/p318_387.wav,"Sure, we have problems."
/data/xuanru/VCTK/VCTK_16k/p318/p318_265.wav,By this point the couple were approaching fast.
/data/xuanru/VCTK/VCTK_16k/p318/p318_257.wav,Nor is it likely to do so.
/data/xuanru/VCTK/VCTK_16k/p318/p318_264.wav,We are playing them at their own game.
/data/xuanru/VCTK/VCTK_16k/p318/p318_092.wav,The crucial strike was yet to come.
/data/xuanru/VCTK/VCTK_16k/p318/p318_329.wav,This is the logic of punishment assaults.
/data/xuanru/VCTK/VCTK_16k/p318/p318_369.wav,His appointment was generally welcomed yesterday.
/data/xuanru/VCTK/VCTK_16k/p318/p318_312.wav,I am not a paedophile.
/data/xuanru/VCTK/VCTK_16k/p318/p318_031.wav,I thought it was quite good.
/data/xuanru/VCTK/VCTK_16k/p318/p318_368.wav,He suffered a broken back and other injuries.
/data/xuanru/VCTK/VCTK_16k/p318/p318_277.wav,It's an absolute disgrace.
/data/xuanru/VCTK/VCTK_16k/p318/p318_162.wav,The General Election is all to play for.
/data/xuanru/VCTK/VCTK_16k/p318/p318_292.wav,"Colonel, About this committee that is coming."
/data/xuanru/VCTK/VCTK_16k/p318/p318_107.wav,"Pitt, of course, would play the lead singer."
/data/xuanru/VCTK/VCTK_16k/p318/p318_217.wav,"He did his best, but it wasn't good enough."
/data/xuanru/VCTK/VCTK_16k/p318/p318_359.wav,The hotel was huge.
/data/xuanru/VCTK/VCTK_16k/p318/p318_163.wav,It was a fiery game.
/data/xuanru/VCTK/VCTK_16k/p318/p318_286.wav,We are talking about the outskirts of London.
/data/xuanru/VCTK/VCTK_16k/p318/p318_175.wav,It was that kind of night.
/data/xuanru/VCTK/VCTK_16k/p318/p318_281.wav,It was a foolhardy decision.
/data/xuanru/VCTK/VCTK_16k/p318/p318_361.wav,"Well, you can have a tree."
/data/xuanru/VCTK/VCTK_16k/p318/p318_421.wav,It appears to have been closed down.
/data/xuanru/VCTK/VCTK_16k/p318/p318_068.wav,"However, there is great potential in this right."
/data/xuanru/VCTK/VCTK_16k/p318/p318_025.wav,They will be dealt with.
/data/xuanru/VCTK/VCTK_16k/p318/p318_404.wav,I will never manage another Scottish club.
/data/xuanru/VCTK/VCTK_16k/p318/p318_204.wav,Election results are expected soon.
/data/xuanru/VCTK/VCTK_16k/p318/p318_260.wav,I read it every year.
/data/xuanru/VCTK/VCTK_16k/p318/p318_072.wav,Before the games it was pretty open.
/data/xuanru/VCTK/VCTK_16k/p318/p318_043.wav,We are not moving in.
/data/xuanru/VCTK/VCTK_16k/p318/p318_106.wav,"However, he added there were signs of progress."
/data/xuanru/VCTK/VCTK_16k/p318/p318_183.wav,I didn't want to ignore the punters.
/data/xuanru/VCTK/VCTK_16k/p318/p318_268.wav,They just thought it was extremely good acting.
/data/xuanru/VCTK/VCTK_16k/p318/p318_135.wav,I mean it happens.
/data/xuanru/VCTK/VCTK_16k/p318/p318_076.wav,This was much worse.
/data/xuanru/VCTK/VCTK_16k/p318/p318_127.wav,Why is this?
/data/xuanru/VCTK/VCTK_16k/p318/p318_327.wav,Medical staff are with them at the moment.
/data/xuanru/VCTK/VCTK_16k/p318/p318_289.wav,I am not a threat to coaches.
/data/xuanru/VCTK/VCTK_16k/p318/p318_272.wav,There was still more disquiet in Israel.
/data/xuanru/VCTK/VCTK_16k/p318/p318_001.wav,Please call Stella.
/data/xuanru/VCTK/VCTK_16k/p318/p318_298.wav,We did discuss the Lockerbie issue.
/data/xuanru/VCTK/VCTK_16k/p318/p318_370.wav,The hearing was fair.
/data/xuanru/VCTK/VCTK_16k/p318/p318_308.wav,It was a simple question.
/data/xuanru/VCTK/VCTK_16k/p318/p318_199.wav,So they will settle again.
/data/xuanru/VCTK/VCTK_16k/p318/p318_044.wav,We have not had a formal request.
/data/xuanru/VCTK/VCTK_16k/p318/p318_157.wav,I am not blaming audiences.
/data/xuanru/VCTK/VCTK_16k/p318/p318_417.wav,Sightings were replaced by rumours.
/data/xuanru/VCTK/VCTK_16k/p318/p318_166.wav,"Obviously, a lot has changed for me since then."
/data/xuanru/VCTK/VCTK_16k/p318/p318_088.wav,This could be her way forward.
/data/xuanru/VCTK/VCTK_16k/p318/p318_241.wav,World leaders expressed their sympathy.
/data/xuanru/VCTK/VCTK_16k/p318/p318_328.wav,It went on to become an annual event.
/data/xuanru/VCTK/VCTK_16k/p318/p318_029.wav,"However, it's good to turn the page."
/data/xuanru/VCTK/VCTK_16k/p318/p318_050.wav,My brother is buried under there.
/data/xuanru/VCTK/VCTK_16k/p318/p318_385.wav,We could learn a lot from them.
/data/xuanru/VCTK/VCTK_16k/p318/p318_080.wav,Did they give any good advice?
/data/xuanru/VCTK/VCTK_16k/p318/p318_093.wav,There's also the point.
/data/xuanru/VCTK/VCTK_16k/p318/p318_140.wav,But every two minutes it was exploding.
/data/xuanru/VCTK/VCTK_16k/p318/p318_226.wav,"From our point of view, it is the right time."
/data/xuanru/VCTK/VCTK_16k/p318/p318_249.wav,We should be rewarded for producing.
/data/xuanru/VCTK/VCTK_16k/p318/p318_313.wav,Some of their movement was excellent.
/data/xuanru/VCTK/VCTK_16k/p318/p318_321.wav,But everyone is entitled to their own opinion.
/data/xuanru/VCTK/VCTK_16k/p318/p318_395.wav,It is time to fight a decisive battle.
